"id";"title";"description";"photo_url";"isbn";"release_year";"user_id"
1;"Код. Тайный язык информатики";"Автор описывает способы манипулирования языком, граничащие с гениальностью, а также рассказывает об инновациях в сфере коммуникации и о том, каким образом изобретательность и человеческое стремление к общению стимулировали технологические открытия последних двух столетий.";"https://cdn.litres.ru/pub/c/cover_200/48447357.webp";"978-5-699-53962-8";2023;1
2;"Python за 7 дней. Краткий курс для начинающих";"Книга «Python за 7 дней» написана специально для новичков в программировании. Ее основные принципы – это простота и практичность.";"https://cdn.litres.ru/pub/c/cover_200/69434344.webp";"978-5-699-53962-9";2023;1
3;"Кровь, пот и пиксели. Обратная сторона индустрии видеоигр";"Почему Diablo III чуть не стала крупнейшим провалом Blizzard? Как Halo превратилась в стратегию? Через что прошла студия, создавшая Uncharted? Всё, что вы хотели знать о разработке Witcher-3 и Destiny, а также многие другие эксклюзивные истории, рассказанные автору этой книги теми, кто создавал самые популярные игры последнего десятилетия. Узнайте, почему игровая индустрия – это не только престиж и огромные зарплаты, но и проверка на стрессоустойчивость и выносливость, которую проходят далеко не все.";"https://cdn.litres.ru/pub/c/cover_200/35245440.webp";"978-5-699-53962-10";2023;1
4;"Чистый код: создание, анализ и рефакторинг";"Даже плохой программный код может работать. Однако если код не является «чистым», это всегда будет мешать развитию проекта и компании-разработчика, отнимая значительные ресурсы на его поддержку и «укрощение».";"https://cdn.litres.ru/pub/c/cover_200/70729888.webp";"978-5-699-53962-11";2023;1
5;"Идеальный программист. Как стать профессионалом разработки ПО";"Всех программистов, которые добиваются успеха в мире разработки ПО, отличает один общий признак: они больше всего заботятся о качестве создаваемого программного обеспечения. Это – основа для них. Потому что они являются профессионалами своего дела.";"https://cdn.litres.ru/pub/c/cover_200/11961798.webp";"978-5-699-53962-12";2023;1
6;"Искусство программирования. Том 1. Основные алгоритмы";"Первый том серии книг Искусство программирования начинается с описания основных понятий и методов программирования. Затем автор переходит к рассмотрению информационных структур – представлению информации внутри компьютера, структурных связей между элементами данных и способам эффективной работы с ними. Для методов имитации, символьных вычислений, числовых методов, методов разработки программного обеспечения даны примеры элементарных приложений. По сравнению с предыдущим изданием добавлены десятки простых, но в то же время очень важных алгоритмов.";"https://cdn.litres.ru/pub/c/cover_200/38842138.webp";"978-5-699-53962-13";2024;1
7;"#Сам себе программист. Как научиться программировать и устроиться в Ebay";"Перед вами прекрасное руководство для тех, кто хочет научиться программировать и планирует заниматься этим профессионально. Автор книги Кори Альтхофф за год освоил азы программирования и с легкостью устроился разрабочиком в Ebay. В книге «Сам себе программсит» он рассказывает о своем опыте, трудностях, с которыми пришлось столкнуться, и дает конкретные рекомендации тем, кто только начинает свой путь в IT-сфере. На примере языка Python автор показывает, как буквально с первого урока можно приступить к созданию собственной небольшой программы, а к концу книги уверенно писать код. Помимо этого, вы узнаете, как успешно проходить собеседования на должность программиста в любой IT-компании и перестать сомневаться в собственных силах.";"https://cdn.litres.ru/pub/c/cover_200/33397888.webp";"978-5-699-53962-14";2023;1
8;"Алгоритмы неформально. Инструкция для начинающих питонистов";"Алгоритмы – это не только задачи поиска, сортировки или оптимизации, они помогут вам поймать бейсбольный мяч, проникнуть в «механику» машинного обучения и искусственного интеллекта и выйти за границы возможного.";"https://cdn.litres.ru/pub/c/cover_200/68332388.webp";"978-5-699-53962-15";2024;1
9;"Кодеры за работой. Размышления о ремесле программиста";"Программисты – люди не очень публичные, многие работают поодиночке или в небольших группах. Причем самая важная и интересная часть их работы никому не видна, потому что происходит у них в голове. Питер Сейбел, писатель-программист, снимает покров таинственности с этой профессии.";"https://cdn.litres.ru/pub/c/cover_200/24499454.webp";"978-5-699-53962-16";2023;1
10;"Институт";"Если верить статистическим данным, только в США ежегодно пропадает восемьсот тысяч детей. Большинство из них находятся, но тысячи – нет. Куда исчезают малыши и что с ними происходит?";"https://cdn.litres.ru/pub/c/cover_200/51598283.webp";"978-5-699-53962-17";2023;1
